application_id,company,location,remote_option,org_type,company_size,role_type,source,applied_on,stage,days_to_response,flagged_skill_gap,estimated_ctc_lpa
APP-040,NextAstra Technologies,Pune,True,Product,Startup,Software Engineering,Company Website,2026-05-01,Rejected - No Response,10.0,Vector Databases,7.5
APP-041,Capgemini,Bangalore,False,IT Services,MNC,Data Science,LinkedIn,2026-03-22,Technical Interview,4.0,Kubernetes,5.5
APP-042,Novigo Solutions,Mangaluru,True,Product,Small,AI/ML Engineering,Campus/Off-campus Drive,2026-04-02,Rejected - No Response,3.0,System Design,7.6
APP-043,Wipro,Bangalore,False,IT Services,MNC,AI/ML Engineering,Campus/Off-campus Drive,2026-04-12,Technical Interview,7.0,AWS,3.0
APP-044,Accenture,Bangalore,False,IT Consulting,MNC,Software Engineering,Referral,2026-04-24,Technical Interview,3.0,,6.2
APP-045,Persistent Systems,Pune,False,Product,Mid-size,Data Science,Instahyre,2026-04-21,Applied,,Docker,9.5
APP-046,MRPL,Mangaluru,False,Core/PSU,Large,AI/ML Engineering,Instahyre,2026-06-04,Rejected After Screening,8.0,,4.5
APP-047,Zoho,Chennai,True,Product,MNC,Software Engineering,Referral,2026-03-31,Applied,,Vector Databases,6.8
APP-048,Novigo Solutions,Mangaluru,False,Product,Small,Data Analytics,Company Website,2026-03-06,Online Assessment,12.0,AWS,8.5
APP-049,TCS,Chennai,True,IT Services,MNC,Software Engineering,Campus/Off-campus Drive,2026-04-26,Applied,,LlamaIndex,5.6
APP-050,PwC,Bangalore,True,IT Consulting,MNC,Data Analytics,Instahyre,2026-03-16,Applied,,LlamaIndex,6.6
APP-051,Winman Software,Mangaluru,False,Product,Mid-size,Software Engineering,Company Website,2026-03-19,Online Assessment,6.0,Vector Databases,7.7
APP-052,HARMAN,Bangalore,True,Product,MNC,Data Science,Instahyre,2026-07-03,Online Assessment,30.0,AWS,8.1
APP-053,Invenger Technologies,Mangaluru,False,Services,Small,Data Science,Instahyre,2026-07-25,HR Interview,7.0,Kubernetes,4.2
APP-054,TCS,Chennai,True,IT Services,MNC,Data Science,Referral,2026-06-13,Technical Interview,12.0,LlamaIndex,4.0
APP-055,Robosoft Technologies,Mangaluru,False,Product,Mid-size,Data Analytics,Instahyre,2026-06-19,Technical Interview,12.0,Tableau,8.3
APP-056,MNJ Software,Bangalore,False,Services,Small,IT Consulting,Referral,2026-03-14,Rejected After Screening,3.0,System Design,4.8
APP-057,Deloitte,Bangalore,False,IT Consulting,MNC,IT Consulting,LinkedIn,2026-03-16,Applied,,SQL Advanced,4.5
APP-058,Raktrix Technologies,Bangalore,True,Startup,Startup,Software Engineering,LinkedIn,2026-05-03,Technical Interview,13.0,Vector Databases,7.8
APP-059,Freshworks,Chennai,False,Product,MNC,Data Analytics,Referral,2026-04-05,Applied,,RAG Pipelines,8.6
APP-060,HARMAN,Bangalore,True,Product,MNC,AI/ML Engineering,Referral,2026-05-03,Technical Interview,10.0,Kubernetes,9.7
APP-061,Microgreen Technologies,Mangaluru,True,Services,Small,Software Engineering,Campus/Off-campus Drive,2026-03-26,Rejected After Screening,8.0,System Design,4.1
APP-062,Freshworks,Chennai,True,Product,MNC,Data Analytics,LinkedIn,2026-03-24,Applied,,RAG Pipelines,8.9
APP-063,MNJ Software,Bangalore,True,Services,Small,Software Engineering,Referral,2026-07-02,Applied,,,7.3
APP-064,MRPL,Mangaluru,False,Core/PSU,Large,Data Analytics,LinkedIn,2026-04-12,Rejected After Screening,1.0,LangChain,4.9
APP-065,MRPL,Mangaluru,False,Core/PSU,Large,Software Engineering,Company Website,2026-06-25,Online Assessment,6.0,Tableau,5.1
APP-066,PwC,Bangalore,False,IT Consulting,MNC,Data Science,Instahyre,2026-07-21,Rejected - No Response,9.0,SQL Advanced,7.1
APP-067,Wipro,Bangalore,False,IT Services,MNC,IT Consulting,Naukri,2026-04-18,Rejected - No Response,12.0,Vector Databases,3.7
APP-068,Winman Software,Mangaluru,True,Product,Mid-size,Data Analytics,Campus/Off-campus Drive,2026-07-17,Applied,,SQL Advanced,9.0
APP-069,Raktrix Technologies,Bangalore,False,Startup,Startup,Data Science,LinkedIn,2026-03-13,HR Interview,10.0,Kubernetes,7.5
APP-070,Zoho,Chennai,True,Product,MNC,Data Science,Campus/Off-campus Drive,2026-04-10,Applied,,AWS,8.4
APP-071,Novigo Solutions,Mangaluru,False,Product,Small,Software Engineering,Naukri,2026-03-18,Rejected After Screening,2.0,LlamaIndex,10.5
APP-072,Cognizant,Chennai,True,IT Services,MNC,Data Analytics,Naukri,2026-06-12,Applied,,,5.7
APP-073,Capgemini,Bangalore,False,IT Services,MNC,Data Analytics,Naukri,2026-07-27,Online Assessment,10.0,LangChain,5.4
APP-074,Accenture,Bangalore,False,IT Consulting,MNC,Data Science,LinkedIn,2026-06-16,Rejected - No Response,3.0,Spark,5.4
APP-075,Capgemini,Bangalore,False,IT Services,MNC,Data Analytics,Campus/Off-campus Drive,2026-05-20,Rejected After Screening,6.0,Vector Databases,4.7
APP-076,Cognizant,Chennai,True,IT Services,MNC,Software Engineering,Instahyre,2026-05-20,Rejected - No Response,10.0,Docker,5.6
APP-077,MRPL,Mangaluru,False,Core/PSU,Large,Data Science,Naukri,2026-05-16,Rejected After Screening,8.0,Power BI,5.5
APP-078,OmneNEST Technologies,Mangaluru,False,Services,Small,Software Engineering,LinkedIn,2026-03-03,Rejected - No Response,5.0,Spark,7.0
APP-079,Capgemini,Bangalore,False,IT Services,MNC,IT Consulting,LinkedIn,2026-03-19,Rejected - No Response,9.0,Vector Databases,3.8
APP-080,Zoho,Chennai,False,Product,MNC,Data Analytics,Company Website,2026-04-03,Technical Interview,5.0,,7.6
APP-081,Novigo Solutions,Mangaluru,False,Product,Small,Software Engineering,Naukri,2026-06-03,Technical Interview,12.0,RAG Pipelines,8.8
APP-082,Microsoft,Bangalore,False,Product,MNC,Data Science,Campus/Off-campus Drive,2026-05-17,Online Assessment,2.0,,6.5
APP-083,Deloitte,Bangalore,False,IT Consulting,MNC,Data Analytics,Campus/Off-campus Drive,2026-03-03,HR Interview,6.0,,6.8
APP-084,Freshworks,Chennai,True,Product,MNC,AI/ML Engineering,Company Website,2026-03-27,Applied,,Docker,8.0
APP-085,Robosoft Technologies,Mangaluru,True,Product,Mid-size,AI/ML Engineering,LinkedIn,2026-07-20,Rejected - No Response,13.0,Docker,8.4
